 [완료]	[完成]
 스테이지에 있습니다.	在副本中
+ 검은 마녀	+黑魔女
+ 불사신	+不死神
+ 붉은 로브	+红袍
1일 25회 시청가능	每天可看25次
5초당 회복 	每5秒回复
가디언	守卫
가이아	盖亚
가ힰ	嘉女
각시	新娘
감소시간	缩短时间
거인	巨人
검사	剑士
검은 마녀	黑魔女
검은고양이	黑猫
검은마녀릴리	黑魔女莉莉
게임을 나가시겠습니까?	想退出？
겨울 고원	冬高原
겨울 고원 - 1	冬高原-1
겨울 고원 - 2	冬高原-2
겨울 고원 - 3	冬高原-3
고양이	猫
골드가 부족합니다.	金币不足。
공격력 향상	攻击力提升
공격속도	攻击速度
공격속도 향상	攻击速度提升
교체	更换
나	我
나가기	退出
나도 강해질수 있을까?	我也能升级？
나이트메어	梦魔
난 이 마을이 좋아.	我喜欢这个村子。
날씨가 좋아!	天气眞好！
남쪽 숲	南森林
남쪽 숲 - 1	南森林-1
남쪽 숲 - 2	南森林-2
남쪽 숲 - 3	南森林-3
내 캐릭터	我的角色
네크로맨서	死灵法师
네크로맨서 레벨 리셋	死灵法师等级重置
네크로맨서 마나량 증가	死灵法师魔力增加
년	年
눈보라	暴风雪
늘리기	增加
다람쥐	松鼠
다시 시작	重新开始
다이아몬드 100	钻石100
다이아몬드 10000	钻石10000
다이아몬드 3000	钻石3000
다이아몬드 800	钻石800
다이아몬드가 부족합니다	钻石不足。
단기	短期
대량 판매	批量出卖
대량 판매하시겠습니까?	要批量卖出？
데미지	伤害
드라큘라	德古拉
드래곤	龙
드워프소녀	矮人少女
랜덤 힐	随机治
로이	罗伊
루시퍼	路西法
리뷰 하기	写评价
리뷰 하시겠어요?	想写评价？
리셋	重置
리치	巫妖
릴리	莉莉
마고	麻姑
마나가 부족합니다	魔力不足
마나가 부족합니다.	魔力不足。
마리오네트	木偶
마을	村庄
마을에서만 가능합니다.	仅在村庄可用。
마지막 레벨입니다.	已是最高等级。
망령	亡灵
맴버 추가	增加成员
멤버 슬롯 + 1	成员槽+1
무녀	巫女
무릉도원	世外桃源
무릉도원 - 1	世外桃源-1
무릉도원 - 2	世外桃源-2
무릉도원 - 3	世外桃源-3
무사	武士
무한던전	无尽地牢
미라	尸妖
미션 성공	任务成功
박쥐	夜翼
발키리	武姬
버블탄	泡泡弹
벼락	巴拉
보물상자를 발견했다!	发现了宝箱！
보상받기	领取赏励
보상을 받았습니다.	已领取赏励。
보스 도전	挑战首领
보스를 물리쳤습니다!	击败了首领！
보스처치시 보상	击败首领赏励
봉바	奉巴
봉바 배고프다.	奉巴饿了。
분	分
불사신	不死神
붉은 로브	红袍
붉은 사막	红沙漠
붉은 사막 - 1	红沙漠-1
붉은 사막 - 2	红沙漠-2
붉은 사막 - 3	红沙漠-3
붉은기사	红骑士
빅풋	大脚
서큐버스	魅魔
성공 확률	成功率
소꿉친구로이	竹马罗伊
소환 보너스	召唤赏励
수락	接受
쉐도우	暗影
스켈레톤	白骨
스킬 갱신하기 5회	技能刷新5次
스킬 쿨타임	技能冷却
스테이지 클리어 50회	通关50次
슬라임	史莱姆
슬라임 동굴	史莱姆洞窟
슬라임 동굴 - 1	史莱姆洞窟-1
슬라임 동굴 - 2	史莱姆洞窟-2
슬라임 동굴 - 3	史莱姆洞窟-3
시	时
아누비스	阿努比斯
얼음요정	雪妖精
여우	狐狸
영혼소환 지속시간 증가	灵魂召唤持续时间增加
영혼소환 최대수 증가	灵魂召唤上限增加
오딘	奥丁
오래된 숲	古老森林
오래된 숲 - 1	古老森林-1
오래된 숲 - 2	古老森林-2
오래된 숲 - 3	古老森林-3
오시리스	欧西里斯
용돈 받으렴.	拿去花。
용병	佣兵
원피스	连衣裙
월	月
유령	幽灵
유령 저택	幽灵宅邸
유령 저택 - 1	幽灵宅邸-1
유령 저택 - 2	幽灵宅邸-2
유령 저택 - 3	幽灵宅邸-3
유령기사소환	幽灵骑士召唤
유성	流星
의 정수	之精华
이동속도	移动速度
이동속도 향상	移动速度提升
이시스	伊西斯
일	日
입장	入场
자동 갱신	自动刷新
전갈	蝎子
전설의마법사	传说魔法师
전설의백기사	传说白骑士
전설의용병	传说佣兵
전설의청기사	传说苍骑士
전설의흑기사	传说黑骑士
전체 힐	全治疗
정말 판매하시겠습니까?	眞的要卖出？
정말 환생하시겠습니까?	眞的要转生？
제외	排除
제우스	宙斯
좀비	行尸
지하 감옥	地下监狱
지하 감옥 - 1	地下监狱-1
지하 감옥 - 2	地下监狱-2
지하 감옥 - 3	地下监狱-3
창기사	枪骑士
창병	枪兵
체력 향상	生命提升
초	秒
초당 회복 	每秒回复
최대 레벨입니다.	已达最高等级。
추가 골드	额外金币
추가 공격력	额外攻击力
추가 공격속도	额外攻击速度
추가 능력치	额外属性
추가 이동속도	额外移动速度
추가 체력	额外生命
추가 회복력	额外回复
추가 회복속도	额外回复速度
축하합니다!	恭喜！
취소	取消
치우	蚩尤
토끼	兎子
토끼 평원	兎子平原
토끼 평원 - 1	兎子平原-1
토끼 평원 - 2	兎子平原-2
토끼 평원 - 3	兎子平原-3
튜토리얼	新手指南
판 매	出卖
팔기	卖掉
포탈	传送
프레이아	芙丽雅
한번만 구매	限购一次
합 성	合成
합성 성공 5회	合成成功5次
합성상자	合成宝箱
해골대장	白骨队长
해제	解除
현재 MP량	当前MP
현재 쿨타임	当前冷却
확인	确认
환생	转生
환생레벨이 올랐습니다!	转生等级提升了！
환생하시겠습니까?	想转生？
환인	桓因
황금 신전	黄金神殿
황금 신전 - 1	黄金神殿-1
황금 신전 - 2	黄金神殿-2
황금 신전 - 3	黄金神殿-3
황금기사	黄金骑士
회복력	回复
회복속도 향상	回复速度提升
획득	获得
흑기사	黑骑士
 골드를 획득하였습니다.	获得了金币。
 다이아몬드를 사용하였습니다.	使用了钻石。
 다이아몬드를 획득하였습니다.	获得了钻石。
(네크로맨서 레벨이 리셋됩니다.)	（死灵法师等级已重置。）
(제외된 맴버는 사라집니다.)	（被除名的成员会消失。）
1분 동안 소환수 전원의 공격 속도가 향상됩니다.	1分钟内全体召唤兽攻速提升。
1분 동안 소환수 전원의 공격력이 향상됩니다.	1分钟内全体召唤兽攻击提升。
1분 동안 소환수 전원의 체력이 향상됩니다.	1分钟内全体召唤兽体力提升。
300초 동안 몬스터 등급이 한등급 위로 나옵니다.	300秒内怪物等级提升一阶。
30레벨이 되면 무한던전으로 가는 문을 열어줄게.	到30级便打开通往无限地牢的门。
G등급 몬스터를 획득하면 명예의 전당에 등록됩니다.	获得G级怪物将登记入名人堂。
G등급은 합성 할수없습니다.	G级无法合成。
[패시브] 소환수 전원의 공격력이 향상됩니다.	[被动]全体召唤兽攻击提升。
[패시브] 소환수 전원의 이동속도를 향상합니다.	[被动]提升全体召唤兽移速。
[패시브] 소환수 전원의 체력을 지속적으로 회복합니다.	[被动]全体召唤兽体力持续恢复。
[패시브] 소환수 전원의 체력이 향상됩니다.	[被动]全体召唤兽体力提升。
[패시브] 스킬 재사용 대기시간을 줄여줍니다.	[被动]技能冷却时间缩短。
가방 슬롯을 추가하시겠습니까?	要增加背包槽位？
가방슬롯이 가득 찼습니다.	背包槽位已满。
강력한 보스와 그의 부하들이 기다리고 있습니다.	强大的首领和他的部下在等着。
같은 몬스터여도 등급이나 추가능력치가 달라. 	或者相同怪物，等级和附加能力也不同。
같은 유닛, 같은 등급이 아니면 합성 할수 없습니다.	单位或等级不同则无法合成。
같은 종류의 몬스터가 이미 맴버슬롯에 있습니다.	同种怪物已在成员槽位中。
갱신할때마다 사용할수 있는 스킬이 늘어납니다.(6스킬까지 한계)	每次刷新可用技能增加。（上限6个）
게임을 다시 시작합니다.	正在重新开始。
고정 맴버 레벨업 10회	固定成员升级10次
고정으로 데리고 다닐수 있는 몬스터는 제한적이야.	能固定携带的怪物有限。
광고 삭제, 다이아 100	去广告，钻石100
구해줬으면 하는 정수가 있어.	有想救的精髓。
그.. 그래 넌 이시스님의 은총을 받은 아이지.	...没错，是受到伊西斯大人恩惠之人。
그.. 그래.. 우선 이 몬스터들을 구해주렴.(오른쪽 상단에 퀘스트 목록이 생성되었습니다.)	那...那好罢...先救救这些怪物罢。（任务列表已生成于右上角。）
그녀는 네크로맨서이고 몬스터들을 되살려 아군으로 만들수 있습니다.	那位是死灵法师，能复活怪物并将其收为同伴。
그럼요. 릴리님. 신성하신 이시스님의 힘으로 최대한 많은 몬스터들을 구해볼게요! 	好的，莉莉大人！以神圣伊西斯之力，我会拯救尽量多的怪物！
나도 열심히 수련해서 마을을 지켜야지!	我也要努力修炼，守护村子！
난이도 선택은 마을에서만 가능합니다.	难度只能在村庄选择。
남쪽숲에서 몬스터를 구해주고 왔구나. 부탁하나만 들어줄래?	从南森林救回怪物了，有一事相求？
너에게는 특별한 힘이 있구나.	拥有特殊的力量。
너의 그 음.. 그 정화하는 힘으로 몬스터들의 정수를 구해줬으면 하는데 말이야. 	希望能借用你那种...净化之力，拯救怪物们的精髓，可好？
너의 사악.. 아니 신성한 힘으로 \n저주받은 몬스터들을 구해주렴.	用那邪恶...不，神圣之力\n去拯救中邪的怪物们罢。
네크로맨서 공격속도 증가	死灵法师攻速增加
네크로맨서 기본 능력치 상승	死灵法师基础能力上升
네크로맨서 능력이 상승하였습니다!	死灵法师能力上升了！
네크로맨서 레벨이 리셋되었습니다!	死灵法师等级已重置！
네크로맨서 마나회복력 증가	死灵法师法力恢复增加
네크로맨서 업그레이드 5회	死灵法师升级5次
네크로맨서 이동속도 증가	死灵法师移速增加
네크로맨서 체력회복력 증가	死灵法师体力恢复增加
다이아몬드를 골드로 교환합니다.	将钻石换成金币。
데빌에볼루션도 다운받아보세요!	也请下载恶魔进化！
되도록 많은 몬스터들의 영혼..아니 정수를 구해줬으면 좋겠어. 용돈도 줄거야. 	请尽量多拯救怪物们的灵魂...不，精髓。定有重谢。
등급강화에 성공하였습니다.	品阶强化成功。
등급과 종류가 같은 몬스터끼리 합성할수 있습니다.	只有品阶和种类相同的怪物才能合成。
등급업에 실패하였습니다.	品阶提升失败。
레벨 20이 되면 몬스터 상점을 열어줄게.	20级便打开怪物商店。
루시퍼님.. 어쩌자고 저런 아이에게...	路西法大人...何以选中那孩子...
마을로 귀환해봅시다. 마을에선 hp회복이 빠릅니다. 	回村庄看看罢，在村庄hp恢复非常快。
마을에서 진행해야합니다.	须在村庄进行。
매번 고마워. 이번에도 잘 부탁해.	每次多谢了，这次也麻烦了。
맴버 슬롯을 추가하시겠습니까?	要增加成员槽位？
맴버슬롯에 추가됐습니다!	已加入成员槽位！
맴버슬롯은 네크로맨서 99레벨에 환생시 추가됩니다.	成员槽位在死灵法师99级转生时增加。
맴버슬롯이 가득 찼습니다. 기존 맴버를 제외하거나 슬롯을 늘려주세요.	成员槽位已满，请除名现有成员或增加槽位。
맴버슬롯이 가득 찼습니다. 잠시 활동 후 가방에 보관 됩니다.	成员槽位已满，暂放后会存入背包。
맴버슬롯이 추가되었습니다!	成员槽位已增加！
명예의 전당 업그레이드 5회	名人堂升级5次
몇백년 전에 이 마을은 악마들이 지배했다고해..	据说几百年前这个村子由恶魔统治...
몬스터 300번 소환하기	召唤怪物300次
몬스터 300번 처치하기	讨伐怪物300次
몬스터 근처로 가면 자동으로 전투를 시작합니다.	接近怪物会自动开始战斗。
몬스터 상점에서 구입하면 \n높은 등급이 나올 확률이 높아.	在怪物商店购买\n高品阶出现机率更高。
몬스터 상점에서는 다양한 몬스터를 바로 구매 할수 있습니다.	在怪物商店之中，可直接购买多种多样的怪物。
몬스터가 가진 기본 능력치를 영구적으로 업그레이드 할수 있습니다.	可永久提升怪物自身拥有的基础能力数值。
몬스터가 기절해도 걱정마. \n시간이 지나면 다시 정신을 차릴거야.	怪物晕倒也别担心，\n过段时间会苏醒的。
몬스터들이 너를 참 잘 따르는구나.	怪物们相当亲近。
무덤을 터치하면 몬스터와 함께 전투할수 있습니다.	触摸墓碑可与怪物一起战斗。
바닥을 터치하면 이동합니다.이후 자동이동도 가능합니다.	触摸地面移动，之后也可自动移动。
보스 도전 레벨이 올라갑니다.	首领挑战等级上升。
보스레벨을 정말 리셋 하시겠습니까?	是否重置首领等级？
보스를 이미 소환중입니다.	首领召唤中。
봉바 몬스터상점도 이용해줘.	也请光顾奉巴怪物商店。
봉바 상점에서는 몬스터를 \n 바로 살수 있단다. 가끔 희귀한 몬스터도 나오지.	在奉巴商店能买到怪物，有时还有稀有怪物。
새로운 보스난이도에 도전하면 \n몬스터들의 레벨한계제한이 더 높아지게돼.	挑战全新的首领难度罢，\n怪物的等级上限便会进一步提高。
성장시키고 싶은 몬스터가 있다면 \n높은 등급으로 만들면 강한 몬스터가 될수 있어.	想培养中意的怪物吗，那就尽量\n提升品阶，品阶越高便能成长为越强的怪物。
소환수 전원의 체력을 즉시 회복합니다.	马上恢复全体召唤兽体力。
소환수는 가방에 보관됩니다.	召唤兽存入背包。
소환수의 체력을 랜덤으로 회복합니다.	随机恢复召唤兽体力。
스킬을 교체하시겠습니까?	要更换技能？
스킬이 비어있습니다.\n위의 리셋버튼을 누르면 스킬을 배울수 있습니다.	技能栏空着，按上方\n重置开关可学习技能。
스킬이 전부 잠겨있습니다.	技能已全部锁定。
스테이지 난이도가 높아지면 \n높은 등급의 몬스터가 나올 확률이 높아져.	副本难度越高，出现\n高品阶怪物的机率便越高。
스테이지 난이도가 변경되었습니다.	副本难度已变更。
스테이지 보스를 물리쳤습니다!	已击败副本首领！
스테이지보스가 등장했습니다.	副本首领出现了。
슬롯을 더이상 늘릴수 없습니다.	槽位无法继续增加。
신들의 시험대를 통과하면 큰 보상이 있지만 갈수록 아주 어려워져.	通过神之试炼有满满的报酬，但会越来越难。
아주 강력한 몬스터가 소환되었습니다. 도감을 확인해서 보상을 받으세요.	召唤出了非常强大的怪物，请检视图鉴领取报酬。
아주 먼곳에서 균열의 조짐이 보여.	在遥远的地方看到了裂隙的征兆。
아직도 정수가 많이 부족해.	精髓还差非常多。
앱 삭제 시 세이브 데이터가 지워집니다.	删除应用时记录会被消除。
어려운 스테이지일수록 몬스터도 \n높은 등급이 나올 확률이 높아.	副本越难高品阶\n怪物出现机率越高。
언젠가 나도 같이 데려가줘!	总有一天也带我一起去！
오토버튼을 누르면 필드에서 \n자동으로 사냥을 할수 있어.	按自动开关可在\n野外自动狩猎。
우선 포탈을 터치해봅시다.	先触摸一下传送门罢。
이곳은 주인공의 마을입니다.	这里是主人公的村庄。
이미 같은 유닛을 고정소환중입니다. 잠시 활동 후 가방에 보관 됩니다.	同一单位已在固定召唤中，暂放后会存入背包。
이번에는 이 몬스터들을 구해주렴.	这次也救救这些怪物罢。
일정시간 동안 눈보라를 소환합니다.	一定时间内召唤暴风雪。
일정시간 동안 벼락을 소환합니다.	一定时间内召唤落雷。
일정시간 동안 유령기사를 소환합니다.	一定时间内召唤幽灵骑士。
일정시간 동안 유성을 소환합니다.	一定时间内召唤流星。
일정시간이 지나야 합니다.	需要等待一定时间。
입장 후 5초가 지나면 활성화 됩니다.	进入5秒后激活。
전설의 5인이 악마들에게서 이 세계에 평화를 가져온거야.	传说中的五人从恶魔手中给世界带来了和平。
정말 맴버에서 제외하시겠습니까?	是否从成员中除名？
제왕력 725년. 어느 마을에 죽은 이를 되살리는 능력을 가진 소녀가 있었다.\n하지만 그녀는 네크로맨서였고 그 소녀에 의해 되살려진 것은 그저 불사의 좀비일뿐이였다.\n마신의 은총을 받은 성녀이자 네크로맨서로 태어났지만\n그녀는 끝까지 자신을 성직자라고 착각하고 살고있다.	帝王历725年，某座村庄里曾住着一位能复活死者的少女。\n但那少女实为死灵法师，经她之手复活的不过是不死活尸罢了。\n她本是受魔神恩惠、以圣女兼死灵法师之身降生于世，\n而那少女到最后仍自认是圣职者，就这样活了下去。
죽은 이를 되살릴수 있다니.. 대단해!	竟能复活死者...太勐了！
죽음과 탄생이 곧 생명이란다. 	死亡与诞生便是生命。
창創世神話によると、創造主が、\n'一人で'この世の中を作ったとしてい。	按创世神话所言，创造主\n竟'独自一人'创造了这个世界。
창세신화에 따르면 창조주께서 \n무려 '혼자서' 이 세상을 만들었다고 하지.	按创世神话，创造主竟\n'独自一人'创造了这个世界。
초후 다음 스테이지로 넘어갑니다.	秒后进入下一副本。
취소 시 현재 스테이지에서 계속 플레이 할수있습니다.	若选择取消，将在当前的副本中继续进行游戏。
퀘스트를 성공하였습니다. 릴리에게 보상을 받으세요.	任务成功，请向莉莉领取报酬。
