01d0af10	获得了金币。
01d0af14	使用了钻石。
01d0af18	获得了钻石。
01d0b41c	（死灵法师等级已重置。）
01d0b420	（被除名的成员会消失。）
01d0b9d4	1分钟内全体召唤兽攻速提升。
01d0b9d8	1分钟内全体召唤兽攻击提升。
01d0b9dc	1分钟内全体召唤兽体力提升。
01d0bab4	300秒内怪物等级提升一阶。
01d0babc	到30级便打开通往无限地牢的门。
01d0df90	获得G级怪物将登记入名人堂。
01d0df94	G级无法合成。
01d12054	[被动]全体召唤兽攻击提升。
01d12058	[被动]提升全体召唤兽移速。
01d1205c	[被动]全体召唤兽体力持续恢复。
01d12060	[被动]全体召唤兽体力提升。
01d12064	[被动]技能冷却时间缩短。
01d15c2c	要增加背包槽位？
01d15c30	背包槽位已满。
01d15c44	强大的首领和他的部下在等着。
01d15c48	或者相同怪物，等级和附加能力也不同。
01d15c4c	单位或等级不同则无法合成。
01d15c50	同种怪物已在成员槽位中。
01d15c54	每次刷新可用技能增加。（上限6个）
01d15c70	正在重新开始。
01d15c88	固定成员升级10次
01d15c8c	能固定携带的怪物有限。
01d15ca0	去广告，钻石100
01d15ca8	有想救的精髓。
01d15cac	...没错，是受到伊西斯大人恩惠之人。
01d15cb0	...好的...先救救这些怪物罢。（右上角已生成任务列表。）
01d15cb4	那位是死灵法师，能复活怪物变成同伴。
01d15cb8	好的，莉莉大人！以神圣伊西斯之力，我会拯救尽量多的怪物！
01d15cc8	我也要努力修炼，守护村子！
01d15cd4	难度只能在村庄选择。
01d15cec	从南森林救回怪物了，有一事相求？
01d15cf4	拥有特殊的力量。
01d15cf8	希望能借那...净化之力，拯救怪物们的精髓。
01d15cfc	用那邪恶...不，神圣之力 / 去拯救中邪的怪物们罢。
01d15d04	死灵法师攻速增加
01d15d08	死灵法师基础能力上升
01d15d0c	死灵法师能力上升了！
01d15d14	死灵法师等级已重置！
01d15d1c	死灵法师法力恢复增加
01d15d20	死灵法师升级5次
01d15d24	死灵法师移速增加
01d15d28	死灵法师体力恢复增加
01d15d54	将钻石换成金币。
