01d0af10	獲得了金幣。
01d0af14	使用了鑽石。
01d0af18	獲得了鑽石。
01d0b41c	（死靈法師等級已重置。）
01d0b420	（被除名的成員會消失。）
01d0b9d4	1分鐘內全體召喚獸攻速提升。
01d0b9d8	1分鐘內全體召喚獸攻擊提升。
01d0b9dc	1分鐘內全體召喚獸體力提升。
01d0bab4	300秒內怪物等級提升一階。
01d0babc	到30級便打開通往无限地牢的門。
01d0df90	獲得G級怪物將登記入名人堂。
01d0df94	G級无法合成。
01d12054	[被動]全體召喚獸攻擊提升。
01d12058	[被動]提升全體召喚獸移速。
01d1205c	[被動]全體召喚獸體力持續恢復。
01d12060	[被動]全體召喚獸體力提升。
01d12064	[被動]技能冷却時間縮短。
01d15c2c	要增加背包槽位？
01d15c30	背包槽位已滿。
01d15c44	强大的首領和他的部下在等着。
01d15c48	或者相同怪物，等級和附加能力也不同。
01d15c4c	單位或等級不同則无法合成。
01d15c50	同種怪物已在成員槽位中。
01d15c54	每次刷新可用技能增加。（上限6個）
01d15c70	正在重新開始。
01d15c88	固定成員升級10次
01d15c8c	能固定携帶的怪物有限。
01d15ca0	去廣告，鑽石100
01d15ca8	有想救的精髓。
01d15cac	...沒錯，是受到伊西斯大人恩惠之人。
01d15cb0	...好的...先救救這些怪物罷。（右上角已生成任務列表。）
01d15cb4	那位是死靈法師，能復活怪物變成同伴。
01d15cb8	好的，莉莉大人！以神聖伊西斯之力，我會拯救盡量多的怪物！
01d15cc8	我也要努力修煉，守護村子！
01d15cd4	難度只能在村莊選擇。
01d15cec	從南森林救回怪物了，有一事相求？
01d15cf4	擁有特殊的力量。
01d15cf8	希望能借那...淨化之力，拯救怪物們的精髓。
01d15cfc	用那邪惡...不，神聖之力 / 去拯救中邪的怪物們罷。
01d15d04	死靈法師攻速增加
01d15d08	死靈法師基礎能力上升
01d15d0c	死靈法師能力上升了！
01d15d14	死靈法師等級已重置！
01d15d1c	死靈法師法力恢復增加
01d15d20	死靈法師升級5次
01d15d24	死靈法師移速增加
01d15d28	死靈法師體力恢復增加
01d15d54	將鑽石換成金幣。
01d15d68	也請下載惡魔進化！
01d15d6c	請盡量多拯救怪物們的靈魂...不，精髓。定有重謝。
01d15d7c	品階强化成功。
01d15d80	只有品階和種類相同的怪物才能合成。
01d15d84	品階提升失敗。
01d15d8c	20級便打開怪物商店。
01d15d98	路西法大人...何以選中那孩子...
01d15dc4	回村莊看看罷，在村莊hp恢復非常快。
01d15dc8	須在村莊進行。
01d15dd8	每次多謝了，這次也麻煩了。
01d15ddc	要增加成員槽位？
01d15de4	已加入成員槽位！
01d15de8	成員槽位在死靈法師99級轉生時增加。
01d15dec	成員槽位已滿，請除名現有成員或增加槽位。
01d15df0	成員槽位已滿，暫放後會存入背包。
01d15df4	成員槽位已增加！
01d15dfc	名人堂升級5次
01d15e00	据說幾百年前這個村子由惡魔統治...
01d15e04	召喚怪物300次
01d15e08	討伐怪物300次
01d15e0c	接近怪物會自動開始戰斗。
01d15e10	在怪物商店購買 / 高品階出現机率更高。
01d15e14	在怪物商店可買到多種怪物。
01d15e18	可永久升級怪物的基礎能力。
01d15e1c	怪物暈倒也別擔心， / 過段時間會蘇醒的。
01d15e20	怪物們相當親近。
01d15e28	觸摸墓碑可與怪物一起戰斗。
01d15e4c	觸摸地面移動，之後也可自動移動。
01d15e70	首領挑戰等級上升。
01d15e74	是否重置首領等級？
01d15e7c	首領召喚中。
01d15e88	也請光顧奉巴怪物商店。
01d15e90	在奉巴商店 / 能買到怪物，有時還有稀有怪物。
01d15eb8	挑戰新的首領難度 / 怪物的等級上限會更高。
01d15ec4	想培養怪物的話 / 品階越高就會越强。
01d15ed0	馬上恢復全體召喚獸體力。
01d15ed4	召喚獸存入背包。
01d15ed8	隨机恢復召喚獸體力。
01d15ef0	要更換技能？
01d15ef4	技能欄空着。 / 按上方重置開關可學習技能。
01d15ef8	技能已全部鎖定。
01d15efc	副本難度越高 / 高品階怪物出現机率越高。
01d15f00	副本難度已變更。
01d15f04	已擊敗副本首領！
01d15f0c	副本首領出現了。
01d15f24	槽位无法繼續增加。
01d15f2c	通過神之試煉有滿滿的報酬，但會越來越難。
01d15f34	召喚出了非常强大的怪物，請檢視圖鑒領取報酬。
01d15f38	在遙遠的地方看到了裂隙的征兆。
01d15f3c	精髓還差非常多。
01d15f40	刪除應用時記錄會被消除。
01d15f44	副本越難 / 高品階怪物出現机率越高。
01d15f48	總有一天也帶我一起去！
01d15f74	按自動開關 / 可在野外自動狩獵。
01d15f80	先觸摸一下傳送門罷。
01d15fac	這里是主人公的村莊。
01d15fb8	同一單位已在固定召喚中，暫放後會存入背包。
01d15fbc	這次也救救這些怪物罷。
01d15fc8	一定時間內召喚暴風雪。
01d15fcc	一定時間內召喚落雷。
01d15fd0	一定時間內召喚幽靈騎士。
01d15fd4	一定時間內召喚流星。
01d15fd8	需要等待一定時間。
01d15fe0	進入5秒後激活。
01d15fec	傳說中的五人從惡魔手中給世界帶來了和平。
01d16008	是否從成員中除名？
01d16014	帝王歷725年，某村莊有能復活死者的少女。 / 但那少女是死靈法師，被那少女復活的只是不死活尸。 / 原本是受魔神恩惠的聖女兼死靈法師降生 / 而那少女到最後都自認是聖職者而活着。
01d16024	竟能復活死者...太猛了！
01d16028	死亡與誕生便是生命。
01d1603c	按創世神話，創造主 / '獨自一人'創造了這個世界。
01d16048	按創世神話，創造主 / 竟'獨自一人'創造了這個世界。
01d16058	秒後進入下一副本。
01d16088	取消則繼續當前副本。
01d16090	任務成功，請向莉莉領取報酬。
01d160b8	可經傳送門前往各副本。
01d160bc	傳送門重新激活需要一点時間
01d160c0	召喚爆裂氣泡。
01d160c8	游玩時間達成100分鐘
01d160cc	游玩時間達成20分鐘
01d160d0	玩家暈倒了，返回村莊。
01d160d4	需要的技能請用鎖定功能。
01d160d8	一個靈魂自己進入了靈魂背包。
01d160f0	該怪物處于鎖定狀態。
01d160f8	哈姆澤出現了，快点觸摸罷！
