01d0af04	 ゴールドを獲得しました。
01d0af08	 ダイヤモンドを使用しました。
01d0af0c	 ダイヤモンドを獲得しました。
01d0b414	(ネクロメンソレベルがリセットされます。)
01d0b418	(除外されたメンバーは、消えます)
01d0b4a0	+ 赤いローブ
01d0b9c4	1分間、召喚獣全員の体力が向上します。
01d0b9c8	1分間、召喚獣全員の攻撃力が向上します。
01d0b9cc	1分間、召喚獣全員の攻撃速度が向上します。
01d0bab0	300秒間モンスターランクが一段階高く出ます。
01d0bab8	30レベルになると無限のダンジョンに / 向かう扉を開けてあげる。
01d0df88	Gランクけは合成できません。
01d0df8c	Gランクモンスターを獲得すれば、名誉の殿堂に登録されます。
01d12040	[パッシブ]スキル再使用待機時間を減らしてくれます
01d12044	[パッシブ]召喚獣全員の体力が向上します
01d12048	[パッシブ]召喚獣全員の体力を持続的に回復します。
01d1204c	[パッシブ]召喚獣全員の攻撃力が向上します。
01d12050	[パッシブ]召喚獣全員の移動速度を向上します。
01d156c0	いいえ
01d156c4	いつか私も一緒に連れてって!
01d156c8	おめでとうございます!
01d156cc	お化け屋敷
01d156d0	お化け屋敷-1
01d156d4	お化け屋敷-2
01d156d8	お化け屋敷-3
01d156dc	かばんスロットがいっぱいになりました。
01d156e0	ここは主人公の村です。
01d156e4	した魂が自ら魂、鞄に入りました。
01d156e8	すでに同じユニットを固定召喚中です。 しばらく活動後、かばんに保管されます。
01d156ec	その…そう。 まず、このモンスターたちを救ってくれてごらん。 / (右上段にクエストのリストが生成されました。)
01d156f0	その…そしてお前はイシス様の恵みを受けた子だよ.
01d156f4	できるだけ多くのモンスターたちの魂・・・いや、 / 真髄を救ってくれたら良いな。。。お小遣いもあげる。
01d156f8	とても強力なモンスターが召喚されました。 図鑑を確認して補償を受けてください。
01d156fc	とても遠いところで、亀裂の兆しが見える。
01d15700	の真髄
01d15704	はい
01d15708	まずポータルをタッチしてみましょう。
01d1570c	まだも、真髄がかなり足りないよ。
01d15714	アヌビス
01d15718	アバター
01d1571c	イシス
01d15720	ウサギ
01d15724	ウサギ平原
01d15728	ウサギ平原 - 1
01d1572c	ウサギ平原 - 2
01d15730	ウサギ平原 - 3
01d15734	オシリス
01d15738	オーディン
01d1573c	オートボタンを押すと、 / フィールドで自動的に狩りができる。
01d15740	ガイア
01d15744	ガーディアン
01d15748	キツネ
01d1574c	ギャッギ
01d15750	クエストを成功しました。 リリーに補償を受けてください。
01d15754	ゲームを再起動します。
01d15758	ゲームを削除すると、セーブデータが消去されます。
01d1575c	ゲームを終了しますか。
01d15760	ゴールドが不足します。
01d15764	サキュバス
01d15768	サソリ
01d1576c	シャドウ
01d15770	スキルがすべてロックされています。
01d15774	スキルが空いています。 / 上のリセットボタンを押すとスキルを学ぶことができます。
01d15778	スキルを交代しますか。
01d1577c	スキルクールタイム
01d15780	スキル更新する5回
01d15784	スケルトン
01d15788	スケルトン大腸
01d1578c	ステージにあります。
01d15790	ステージクリア50回
01d15794	ステージボスが登場しました。
01d15798	ステージボスを倒しました!
01d1579c	ステージ難易度が変更されました。
01d157a0	ステージ難易度が高まれば、 / 高ランクのモンスターが出てくる確率が高まって。
01d157a4	スライム
01d157a8	スライム洞窟
01d157ac	スライム洞窟-1
01d157b0	スライム洞窟-2
01d157b4	スライム洞窟-3
01d157b8	スロットをさらに以上増やすことができません。
01d157bc	ゼウス
01d157c0	ゾンビ
01d157c4	ダイヤモンド100
01d157c8	ダイヤモンド10000
01d157cc	ダイヤモンド3000
01d157d0	ダイヤモンド800
01d157d4	ダイヤモンドが不足します
01d157d8	ダイヤモンドをゴールドで交換します。
01d157dc	ダメージ
01d157e0	ダンジョン
01d157e4	ダンジョン-1
01d157e8	ダンジョン-2
01d157ec	ダンジョン-3
01d157f0	チウ
01d157f4	テュートリアル
01d157f8	デビルエボリューションもダウンロードしてみてください!
01d157fc	ドラキュラ
01d15800	ドラゴン
01d15804	ドワーフの女の子
01d15808	ナイトメア
01d1580c	ネクロマンサー
01d15810	ネクロマンサー マナ回復力増加
01d15814	ネクロマンサー マナ量増加
01d15818	ネクロマンサー 体力回復力増加
01d1581c	ネクロマンサー 攻撃速度増加
01d15820	ネクロマンサー 移動速度増加
01d15824	ネクロマンサーアップグレード5回
01d15828	ネクロマンサーレベルがリセットされました!
01d1582c	ネクロマンサーレベルリセット
01d15830	ネクロマンサー基本能力値上昇
01d15834	ネクロマンサー能力が上昇しました!
01d15838	バッグのスロットを追加しますか？
01d1583c	バット
01d15840	バブル弾
01d15844	バルキリー
01d15848	ビッグフット
01d1584c	ファンイン
01d15850	フレイヤ
01d15854	プレーヤーは気絶しました。 村に戻ります。
01d15858	プレー時間100分達成
01d1585c	プレー時間20分達成
01d15860	ヘムジェルが現れました。 やたらにタッチしてみてください!
01d15864	ボスをすでに召喚中です。
01d15868	ボスを倒しました!
01d1586c	ボスレベルを本当にリセットしますか。
01d15870	ボス処置時の補償
01d15874	ボス挑戦
01d15878	ボス挑戦レベルが上がアップします
01d1587c	ボンバ
01d15880	ボンバおなかすいた。
01d15884	ボンバモンスター商店も利用して!
01d15888	ボンパの商店ではモンスターをすぐ買うことができる。 / たまに、貴重なモンスターも出ているよ。
01d1588c	ポータル
01d15890	ポータルが再び活性化なるまで若干の時間が必要です。
01d15894	ポータルを通じて各ステージに移動することができます。
01d15898	マゴ
01d1589c	マリオネット
01d158a0	ミッション成功
01d158a4	ミラ
01d158a8	ムサ
01d158ac	メンバーのスロットがいっぱいになりました。 従来のメンバーを除外したり、スロットを増やしてください。
01d158b0	メンバーのスロットが追加されました!
01d158b4	メンバーのスロットを追加しますか？
01d158b8	メンバースロット+1
