 [완료]	[完成]
 스테이지에 있습니다.	在副本中
+ 검은 마녀	+黑魔女
+ 불사신	+不死神
+ 붉은 로브	+紅袍
1일 25회 시청가능	每天可看25次
5초당 회복 	每5秒回復
가디언	守衛
가이아	盖亞
가ힰ	嘉女
각시	新娘
감소시간	縮短時間
거인	巨人
검사	劍士
검은 마녀	黑魔女
검은고양이	黑猫
검은마녀릴리	黑魔女莉莉
게임을 나가시겠습니까?	想退出？
겨울 고원	冬高原
겨울 고원 - 1	冬高原-1
겨울 고원 - 2	冬高原-2
겨울 고원 - 3	冬高原-3
고양이	猫
골드가 부족합니다.	金幣不足。
공격력 향상	攻擊力提升
공격속도	攻擊速度
공격속도 향상	攻擊速度提升
교체	更換
나	我
나가기	退出
나도 강해질수 있을까?	我也能升級？
나이트메어	夢魔
난 이 마을이 좋아.	我喜歡這個村子。
날씨가 좋아!	天氣眞好！
남쪽 숲	南森林
남쪽 숲 - 1	南森林-1
남쪽 숲 - 2	南森林-2
남쪽 숲 - 3	南森林-3
내 캐릭터	我的角色
네크로맨서	死靈法師
네크로맨서 레벨 리셋	死靈法師等級重置
네크로맨서 마나량 증가	死靈法師魔力增加
년	年
눈보라	暴風雪
늘리기	增加
다람쥐	松鼠
다시 시작	重新開始
다이아몬드 100	鑽石100
다이아몬드 10000	鑽石10000
다이아몬드 3000	鑽石3000
다이아몬드 800	鑽石800
다이아몬드가 부족합니다	鑽石不足。
단기	短期
대량 판매	批量出賣
대량 판매하시겠습니까?	要批量賣出？
데미지	傷害
드라큘라	德古拉
드래곤	龍
드워프소녀	矮人少女
랜덤 힐	隨機治
로이	羅伊
루시퍼	路西法
리뷰 하기	寫評价
리뷰 하시겠어요?	想寫評價？
리셋	重置
리치	巫妖
릴리	莉莉
마고	麻姑
마나가 부족합니다	魔力不足
마나가 부족합니다.	魔力不足。
마리오네트	木偶
마을	村庄
마을에서만 가능합니다.	僅在村庄可用。
마지막 레벨입니다.	已是最高等級。
망령	亡靈
맴버 추가	增加成員
멤버 슬롯 + 1	成員槽+1
무녀	巫女
무릉도원	世外桃源
무릉도원 - 1	世外桃源-1
무릉도원 - 2	世外桃源-2
무릉도원 - 3	世外桃源-3
무사	武士
무한던전	无盡地牢
미라	屍妖
미션 성공	任務成功
박쥐	夜翼
발키리	武姬
버블탄	泡泡彈
벼락	巴拉
보물상자를 발견했다!	發現了寶箱！
보상받기	領取賞勵
보상을 받았습니다.	已領取賞勵。
보스 도전	挑戰首領
보스를 물리쳤습니다!	擊敗了首領！
보스처치시 보상	擊敗首領賞勵
봉바	奉巴
봉바 배고프다.	奉巴餓了。
분	分
불사신	不死神
붉은 로브	紅袍
붉은 사막	紅沙漠
붉은 사막 - 1	紅沙漠-1
붉은 사막 - 2	紅沙漠-2
붉은 사막 - 3	紅沙漠-3
붉은기사	紅騎士
빅풋	大脚
서큐버스	魅魔
성공 확률	成功率
소꿉친구로이	竹馬羅伊
소환 보너스	召喚賞勵
수락	接受
쉐도우	暗影
스켈레톤	白骨
스킬 갱신하기 5회	技能刷新5次
스킬 쿨타임	技能冷却
스테이지 클리어 50회	通關50次
슬라임	史萊姆
슬라임 동굴	史萊姆洞窟
슬라임 동굴 - 1	史萊姆洞窟-1
슬라임 동굴 - 2	史萊姆洞窟-2
슬라임 동굴 - 3	史萊姆洞窟-3
시	時
아누비스	阿努比斯
얼음요정	雪妖精
여우	狐狸
영혼소환 지속시간 증가	靈魂召喚持續時間增加
영혼소환 최대수 증가	靈魂召喚上限增加
오딘	奧丁
오래된 숲	古老森林
오래된 숲 - 1	古老森林-1
오래된 숲 - 2	古老森林-2
오래된 숲 - 3	古老森林-3
오시리스	歐西里斯
용돈 받으렴.	拿去花。
용병	傭兵
원피스	連衣裙
월	月
유령	幽靈
유령 저택	幽靈宅邸
유령 저택 - 1	幽靈宅邸-1
유령 저택 - 2	幽靈宅邸-2
유령 저택 - 3	幽靈宅邸-3
유령기사소환	幽靈騎士召喚
유성	流星
의 정수	之精華
이동속도	移動速度
이동속도 향상	移動速度提升
이시스	伊西斯
일	日
입장	入場
자동 갱신	自動刷新
전갈	蝎子
전설의마법사	傳說魔法師
전설의백기사	傳說白騎士
전설의용병	傳說傭兵
전설의청기사	傳說蒼騎士
전설의흑기사	傳說黑騎士
전체 힐	全治療
정말 판매하시겠습니까?	眞的要賣出？
정말 환생하시겠습니까?	眞的要轉生？
제외	排除
제우스	宙斯
좀비	行屍
지하 감옥	地下監獄
지하 감옥 - 1	地下監獄-1
지하 감옥 - 2	地下監獄-2
지하 감옥 - 3	地下監獄-3
창기사	槍騎士
창병	槍兵
체력 향상	生命提升
초	秒
초당 회복 	每秒回復
최대 레벨입니다.	已達最高等級。
추가 골드	額外金幣
추가 공격력	額外攻擊力
추가 공격속도	額外攻擊速度
추가 능력치	額外屬性
추가 이동속도	額外移動速度
추가 체력	額外生命
추가 회복력	額外回復
추가 회복속도	額外回復速度
축하합니다!	恭喜！
취소	取消
치우	蚩尤
토끼	兎子
토끼 평원	兎子平原
토끼 평원 - 1	兎子平原-1
토끼 평원 - 2	兎子平原-2
토끼 평원 - 3	兎子平原-3
튜토리얼	新手指南
판 매	出賣
팔기	賣掉
포탈	傳送
프레이아	芙麗雅
한번만 구매	限購一次
합 성	合成
합성 성공 5회	合成成功5次
합성상자	合成寶箱
해골대장	白骨隊長
해제	解除
현재 MP량	當前MP
현재 쿨타임	當前冷却
확인	確認
환생	轉生
환생레벨이 올랐습니다!	轉生等級提升了！
환생하시겠습니까?	想轉生？
환인	桓因
황금 신전	黃金神殿
황금 신전 - 1	黃金神殿-1
황금 신전 - 2	黃金神殿-2
황금 신전 - 3	黃金神殿-3
황금기사	黃金騎士
회복력	回復
회복속도 향상	回復速度提升
획득	獲得
흑기사	黑騎士
 골드를 획득하였습니다.	獲得了金幣。
 다이아몬드를 사용하였습니다.	使用了鑽石。
 다이아몬드를 획득하였습니다.	獲得了鑽石。
(네크로맨서 레벨이 리셋됩니다.)	（死靈法師等級已重置。）
(제외된 맴버는 사라집니다.)	（被除名的成員會消失。）
1분 동안 소환수 전원의 공격 속도가 향상됩니다.	1分鐘內全體召喚獸攻速提升。
1분 동안 소환수 전원의 공격력이 향상됩니다.	1分鐘內全體召喚獸攻擊提升。
1분 동안 소환수 전원의 체력이 향상됩니다.	1分鐘內全體召喚獸體力提升。
300초 동안 몬스터 등급이 한등급 위로 나옵니다.	300秒內怪物等級提升一階。
30레벨이 되면 무한던전으로 가는 문을 열어줄게.	到30級便打開通往无限地牢的門。
G등급 몬스터를 획득하면 명예의 전당에 등록됩니다.	獲得G級怪物將登記入名人堂。
G등급은 합성 할수없습니다.	G級无法合成。
[패시브] 소환수 전원의 공격력이 향상됩니다.	[被動]全體召喚獸攻擊提升。
[패시브] 소환수 전원의 이동속도를 향상합니다.	[被動]提升全體召喚獸移速。
[패시브] 소환수 전원의 체력을 지속적으로 회복합니다.	[被動]全體召喚獸體力持續恢復。
[패시브] 소환수 전원의 체력이 향상됩니다.	[被動]全體召喚獸體力提升。
[패시브] 스킬 재사용 대기시간을 줄여줍니다.	[被動]技能冷却時間縮短。
가방 슬롯을 추가하시겠습니까?	要增加背包槽位？
가방슬롯이 가득 찼습니다.	背包槽位已滿。
강력한 보스와 그의 부하들이 기다리고 있습니다.	强大的首領和他的部下在等着。
같은 몬스터여도 등급이나 추가능력치가 달라. 	或者相同怪物，等級和附加能力也不同。
같은 유닛, 같은 등급이 아니면 합성 할수 없습니다.	單位或等級不同則无法合成。
같은 종류의 몬스터가 이미 맴버슬롯에 있습니다.	同種怪物已在成員槽位中。
갱신할때마다 사용할수 있는 스킬이 늘어납니다.(6스킬까지 한계)	每次刷新可用技能增加。（上限6個）
게임을 다시 시작합니다.	正在重新開始。
고정 맴버 레벨업 10회	固定成員升級10次
고정으로 데리고 다닐수 있는 몬스터는 제한적이야.	能固定携帶的怪物有限。
광고 삭제, 다이아 100	去廣告，鑽石100
구해줬으면 하는 정수가 있어.	有想救的精髓。
그.. 그래 넌 이시스님의 은총을 받은 아이지.	...沒錯，是受到伊西斯大人恩惠之人。
그.. 그래.. 우선 이 몬스터들을 구해주렴.(오른쪽 상단에 퀘스트 목록이 생성되었습니다.)	...好的...先救救這些怪物罷。（右上角已生成任務列表。）
그녀는 네크로맨서이고 몬스터들을 되살려 아군으로 만들수 있습니다.	那位是死靈法師，能復活怪物變成同伴。
그럼요. 릴리님. 신성하신 이시스님의 힘으로 최대한 많은 몬스터들을 구해볼게요! 	好的，莉莉大人！以神聖伊西斯之力，我會拯救盡量多的怪物！
나도 열심히 수련해서 마을을 지켜야지!	我也要努力修煉，守護村子！
난이도 선택은 마을에서만 가능합니다.	難度只能在村莊選擇。
남쪽숲에서 몬스터를 구해주고 왔구나. 부탁하나만 들어줄래?	從南森林救回怪物了，有一事相求？
너에게는 특별한 힘이 있구나.	擁有特殊的力量。
너의 그 음.. 그 정화하는 힘으로 몬스터들의 정수를 구해줬으면 하는데 말이야. 	希望能借那...淨化之力，拯救怪物們的精髓。
너의 사악.. 아니 신성한 힘으로 \n저주받은 몬스터들을 구해주렴.	用那邪惡...不，神聖之力\n去拯救中邪的怪物們罷。
네크로맨서 공격속도 증가	死靈法師攻速增加
네크로맨서 기본 능력치 상승	死靈法師基礎能力上升
네크로맨서 능력이 상승하였습니다!	死靈法師能力上升了！
네크로맨서 레벨이 리셋되었습니다!	死靈法師等級已重置！
네크로맨서 마나회복력 증가	死靈法師法力恢復增加
네크로맨서 업그레이드 5회	死靈法師升級5次
네크로맨서 이동속도 증가	死靈法師移速增加
네크로맨서 체력회복력 증가	死靈法師體力恢復增加
다이아몬드를 골드로 교환합니다.	將鑽石換成金幣。
데빌에볼루션도 다운받아보세요!	也請下載惡魔進化！
되도록 많은 몬스터들의 영혼..아니 정수를 구해줬으면 좋겠어. 용돈도 줄거야. 	請盡量多拯救怪物們的靈魂...不，精髓。定有重謝。
등급강화에 성공하였습니다.	品階强化成功。
등급과 종류가 같은 몬스터끼리 합성할수 있습니다.	只有品階和種類相同的怪物才能合成。
등급업에 실패하였습니다.	品階提升失敗。
레벨 20이 되면 몬스터 상점을 열어줄게.	20級便打開怪物商店。
루시퍼님.. 어쩌자고 저런 아이에게...	路西法大人...何以選中那孩子...
마을로 귀환해봅시다. 마을에선 hp회복이 빠릅니다. 	回村莊看看罷，在村莊hp恢復非常快。
마을에서 진행해야합니다.	須在村莊進行。
매번 고마워. 이번에도 잘 부탁해.	每次多謝了，這次也麻煩了。
맴버 슬롯을 추가하시겠습니까?	要增加成員槽位？
맴버슬롯에 추가됐습니다!	已加入成員槽位！
맴버슬롯은 네크로맨서 99레벨에 환생시 추가됩니다.	成員槽位在死靈法師99級轉生時增加。
맴버슬롯이 가득 찼습니다. 기존 맴버를 제외하거나 슬롯을 늘려주세요.	成員槽位已滿，請除名現有成員或增加槽位。
맴버슬롯이 가득 찼습니다. 잠시 활동 후 가방에 보관 됩니다.	成員槽位已滿，暫放後會存入背包。
맴버슬롯이 추가되었습니다!	成員槽位已增加！
명예의 전당 업그레이드 5회	名人堂升級5次
몇백년 전에 이 마을은 악마들이 지배했다고해..	据說幾百年前這個村子由惡魔統治...
몬스터 300번 소환하기	召喚怪物300次
몬스터 300번 처치하기	討伐怪物300次
몬스터 근처로 가면 자동으로 전투를 시작합니다.	接近怪物會自動開始戰斗。
몬스터 상점에서 구입하면 \n높은 등급이 나올 확률이 높아.	在怪物商店購買\n高品階出現机率更高。
몬스터 상점에서는 다양한 몬스터를 바로 구매 할수 있습니다.	在怪物商店可買到多種怪物。
몬스터가 가진 기본 능력치를 영구적으로 업그레이드 할수 있습니다.	可永久升級怪物的基礎能力。
몬스터가 기절해도 걱정마. \n시간이 지나면 다시 정신을 차릴거야.	怪物暈倒也別擔心，\n過段時間會蘇醒的。
몬스터들이 너를 참 잘 따르는구나.	怪物們相當親近。
무덤을 터치하면 몬스터와 함께 전투할수 있습니다.	觸摸墓碑可與怪物一起戰斗。
바닥을 터치하면 이동합니다.이후 자동이동도 가능합니다.	觸摸地面移動，之後也可自動移動。
보스 도전 레벨이 올라갑니다.	首領挑戰等級上升。
보스레벨을 정말 리셋 하시겠습니까?	是否重置首領等級？
보스를 이미 소환중입니다.	首領召喚中。
봉바 몬스터상점도 이용해줘.	也請光顧奉巴怪物商店。
봉바 상점에서는 몬스터를 \n 바로 살수 있단다. 가끔 희귀한 몬스터도 나오지.	在奉巴商店\n能買到怪物，有時還有稀有怪物。
새로운 보스난이도에 도전하면 \n몬스터들의 레벨한계제한이 더 높아지게돼.	挑戰新的首領難度\n怪物的等級上限會更高。
성장시키고 싶은 몬스터가 있다면 \n높은 등급으로 만들면 강한 몬스터가 될수 있어.	想培養怪物的話\n品階越高就會越强。
소환수 전원의 체력을 즉시 회복합니다.	馬上恢復全體召喚獸體力。
소환수는 가방에 보관됩니다.	召喚獸存入背包。
소환수의 체력을 랜덤으로 회복합니다.	隨机恢復召喚獸體力。
스킬을 교체하시겠습니까?	要更換技能？
스킬이 비어있습니다.\n위의 리셋버튼을 누르면 스킬을 배울수 있습니다.	技能欄空着。\n按上方重置開關可學習技能。
스킬이 전부 잠겨있습니다.	技能已全部鎖定。
스테이지 난이도가 높아지면 \n높은 등급의 몬스터가 나올 확률이 높아져.	副本難度越高\n高品階怪物出現机率越高。
스테이지 난이도가 변경되었습니다.	副本難度已變更。
스테이지 보스를 물리쳤습니다!	已擊敗副本首領！
스테이지보스가 등장했습니다.	副本首領出現了。
슬롯을 더이상 늘릴수 없습니다.	槽位无法繼續增加。
신들의 시험대를 통과하면 큰 보상이 있지만 갈수록 아주 어려워져.	通過神之試煉有滿滿的報酬，但會越來越難。
아주 강력한 몬스터가 소환되었습니다. 도감을 확인해서 보상을 받으세요.	召喚出了非常强大的怪物，請檢視圖鑒領取報酬。
아주 먼곳에서 균열의 조짐이 보여.	在遙遠的地方看到了裂隙的征兆。
아직도 정수가 많이 부족해.	精髓還差非常多。
앱 삭제 시 세이브 데이터가 지워집니다.	刪除應用時記錄會被消除。
어려운 스테이지일수록 몬스터도 \n높은 등급이 나올 확률이 높아.	副本越難\n高品階怪物出現机率越高。
언젠가 나도 같이 데려가줘!	總有一天也帶我一起去！
오토버튼을 누르면 필드에서 \n자동으로 사냥을 할수 있어.	按自動開關\n可在野外自動狩獵。
우선 포탈을 터치해봅시다.	先觸摸一下傳送門罷。
이곳은 주인공의 마을입니다.	這里是主人公的村莊。
이미 같은 유닛을 고정소환중입니다. 잠시 활동 후 가방에 보관 됩니다.	同一單位已在固定召喚中，暫放後會存入背包。
이번에는 이 몬스터들을 구해주렴.	這次也救救這些怪物罷。
일정시간 동안 눈보라를 소환합니다.	一定時間內召喚暴風雪。
일정시간 동안 벼락을 소환합니다.	一定時間內召喚落雷。
일정시간 동안 유령기사를 소환합니다.	一定時間內召喚幽靈騎士。
일정시간 동안 유성을 소환합니다.	一定時間內召喚流星。
일정시간이 지나야 합니다.	需要等待一定時間。
입장 후 5초가 지나면 활성화 됩니다.	進入5秒後激活。
전설의 5인이 악마들에게서 이 세계에 평화를 가져온거야.	傳說中的五人從惡魔手中給世界帶來了和平。
정말 맴버에서 제외하시겠습니까?	是否從成員中除名？
제왕력 725년. 어느 마을에 죽은 이를 되살리는 능력을 가진 소녀가 있었다.\n하지만 그녀는 네크로맨서였고 그 소녀에 의해 되살려진 것은 그저 불사의 좀비일뿐이였다.\n마신의 은총을 받은 성녀이자 네크로맨서로 태어났지만\n그녀는 끝까지 자신을 성직자라고 착각하고 살고있다.	帝王歷725年，某村莊有能復活死者的少女。\n但那少女是死靈法師，被那少女復活的只是不死活尸。\n原本是受魔神恩惠的聖女兼死靈法師降生\n而那少女到最後都自認是聖職者而活着。
죽은 이를 되살릴수 있다니.. 대단해!	竟能復活死者...太猛了！
죽음과 탄생이 곧 생명이란다. 	死亡與誕生便是生命。
창創世神話によると、創造主が、\n'一人で'この世の中を作ったとしてい。	按創世神話，創造主\n'獨自一人'創造了這個世界。
창세신화에 따르면 창조주께서 \n무려 '혼자서' 이 세상을 만들었다고 하지.	按創世神話，創造主\n竟'獨自一人'創造了這個世界。
초후 다음 스테이지로 넘어갑니다.	秒後進入下一副本。
취소 시 현재 스테이지에서 계속 플레이 할수있습니다.	取消則繼續當前副本。
퀘스트를 성공하였습니다. 릴리에게 보상을 받으세요.	任務成功，請向莉莉領取報酬。
