 [완료]	[完成]
 스테이지에 있습니다.	在副本中
+ 검은 마녀	+黑魔女
+ 불사신	+不死神
+ 붉은 로브	+紅袍
1일 25회 시청가능	每天可看25次
5초당 회복 	每5秒回復
가디언	守衛
가이아	盖亞
가ힰ	嘉女
각시	新娘
감소시간	縮短時間
거인	巨人
검사	劍士
검은 마녀	黑魔女
검은고양이	黑猫
검은마녀릴리	黑魔女莉莉
게임을 나가시겠습니까?	想退出？
겨울 고원	冬高原
겨울 고원 - 1	冬高原-1
겨울 고원 - 2	冬高原-2
겨울 고원 - 3	冬高原-3
고양이	猫
골드가 부족합니다.	金幣不足。
공격력 향상	攻擊力提升
공격속도	攻擊速度
공격속도 향상	攻擊速度提升
교체	更換
나	我
나가기	退出
나도 강해질수 있을까?	我也能升級？
나이트메어	夢魔
난 이 마을이 좋아.	我喜歡這個村子。
날씨가 좋아!	天氣眞好！
남쪽 숲	南森林
남쪽 숲 - 1	南森林-1
남쪽 숲 - 2	南森林-2
남쪽 숲 - 3	南森林-3
내 캐릭터	我的角色
네크로맨서	死靈法師
네크로맨서 레벨 리셋	死靈法師等級重置
네크로맨서 마나량 증가	死靈法師魔力增加
년	年
눈보라	暴風雪
늘리기	增加
다람쥐	松鼠
다시 시작	重新開始
다이아몬드 100	鑽石100
다이아몬드 10000	鑽石10000
다이아몬드 3000	鑽石3000
다이아몬드 800	鑽石800
다이아몬드가 부족합니다	鑽石不足。
단기	短期
대량 판매	批量出賣
대량 판매하시겠습니까?	要批量賣出？
데미지	傷害
드라큘라	德古拉
드래곤	龍
드워프소녀	矮人少女
랜덤 힐	隨機治
로이	羅伊
루시퍼	路西法
리뷰 하기	寫評价
리뷰 하시겠어요?	想寫評價？
리셋	重置
리치	巫妖
릴리	莉莉
마고	麻姑
마나가 부족합니다	魔力不足
마나가 부족합니다.	魔力不足。
마리오네트	木偶
마을	村庄
마을에서만 가능합니다.	僅在村庄可用。
마지막 레벨입니다.	已是最高等級。
망령	亡靈
맴버 추가	增加成員
멤버 슬롯 + 1	成員槽+1
무녀	巫女
무릉도원	世外桃源
무릉도원 - 1	世外桃源-1
무릉도원 - 2	世外桃源-2
무릉도원 - 3	世外桃源-3
무사	武士
무한던전	无盡地牢
미라	屍妖
미션 성공	任務成功
박쥐	夜翼
발키리	武姬
버블탄	泡泡彈
벼락	巴拉
보물상자를 발견했다!	發現了寶箱！
보상받기	領取賞勵
보상을 받았습니다.	已領取賞勵。
보스 도전	挑戰首領
보스를 물리쳤습니다!	擊敗了首領！
보스처치시 보상	擊敗首領賞勵
봉바	奉巴
봉바 배고프다.	奉巴餓了。
분	分
불사신	不死神
붉은 로브	紅袍
붉은 사막	紅沙漠
붉은 사막 - 1	紅沙漠-1
붉은 사막 - 2	紅沙漠-2
붉은 사막 - 3	紅沙漠-3
붉은기사	紅騎士
빅풋	大脚
서큐버스	魅魔
성공 확률	成功率
소꿉친구로이	竹馬羅伊
소환 보너스	召喚賞勵
수락	接受
쉐도우	暗影
스켈레톤	白骨
스킬 갱신하기 5회	技能刷新5次
스킬 쿨타임	技能冷却
스테이지 클리어 50회	通關50次
슬라임	史萊姆
슬라임 동굴	史萊姆洞窟
슬라임 동굴 - 1	史萊姆洞窟-1
슬라임 동굴 - 2	史萊姆洞窟-2
슬라임 동굴 - 3	史萊姆洞窟-3
시	時
아누비스	阿努比斯
얼음요정	雪妖精
여우	狐狸
영혼소환 지속시간 증가	靈魂召喚持續時間增加
영혼소환 최대수 증가	靈魂召喚上限增加
오딘	奧丁
오래된 숲	古老森林
오래된 숲 - 1	古老森林-1
오래된 숲 - 2	古老森林-2
오래된 숲 - 3	古老森林-3
오시리스	歐西里斯
용돈 받으렴.	拿去花。
용병	傭兵
원피스	連衣裙
월	月
유령	幽靈
유령 저택	幽靈宅邸
유령 저택 - 1	幽靈宅邸-1
유령 저택 - 2	幽靈宅邸-2
유령 저택 - 3	幽靈宅邸-3
유령기사소환	幽靈騎士召喚
유성	流星
의 정수	之精華
이동속도	移動速度
이동속도 향상	移動速度提升
이시스	伊西斯
일	日
입장	入場
자동 갱신	自動刷新
전갈	蝎子
전설의마법사	傳說魔法師
전설의백기사	傳說白騎士
전설의용병	傳說傭兵
전설의청기사	傳說蒼騎士
전설의흑기사	傳說黑騎士
전체 힐	全治療
정말 판매하시겠습니까?	眞的要賣出？
정말 환생하시겠습니까?	眞的要轉生？
제외	排除
제우스	宙斯
좀비	行屍
지하 감옥	地下監獄
지하 감옥 - 1	地下監獄-1
지하 감옥 - 2	地下監獄-2
지하 감옥 - 3	地下監獄-3
창기사	槍騎士
창병	槍兵
체력 향상	生命提升
초	秒
초당 회복 	每秒回復
최대 레벨입니다.	已達最高等級。
추가 골드	額外金幣
추가 공격력	額外攻擊力
추가 공격속도	額外攻擊速度
추가 능력치	額外屬性
추가 이동속도	額外移動速度
추가 체력	額外生命
추가 회복력	額外回復
추가 회복속도	額外回復速度
축하합니다!	恭喜！
취소	取消
치우	蚩尤
토끼	兎子
토끼 평원	兎子平原
토끼 평원 - 1	兎子平原-1
토끼 평원 - 2	兎子平原-2
토끼 평원 - 3	兎子平原-3
튜토리얼	新手指南
판 매	出賣
팔기	賣掉
포탈	傳送
프레이아	芙麗雅
한번만 구매	限購一次
합 성	合成
합성 성공 5회	合成成功5次
합성상자	合成寶箱
해골대장	白骨隊長
해제	解除
현재 MP량	當前MP
현재 쿨타임	當前冷却
확인	確認
환생	轉生
환생레벨이 올랐습니다!	轉生等級提升了！
환생하시겠습니까?	想轉生？
환인	桓因
황금 신전	黃金神殿
황금 신전 - 1	黃金神殿-1
황금 신전 - 2	黃金神殿-2
황금 신전 - 3	黃金神殿-3
황금기사	黃金騎士
회복력	回復
회복속도 향상	回復速度提升
획득	獲得
흑기사	黑騎士
