 [완료]	[完成]
 스테이지에 있습니다.	在副本中
+ 검은 마녀	+黑魔女
+ 불사신	+不死神
+ 붉은 로브	+红袍
1일 25회 시청가능	每天可看25次
5초당 회복 	每5秒回复
가디언	守卫
가이아	盖亚
가ힰ	嘉女
각시	新娘
감소시간	缩短时间
거인	巨人
검사	剑士
검은 마녀	黑魔女
검은고양이	黑猫
검은마녀릴리	黑魔女莉莉
게임을 나가시겠습니까?	想退出？
겨울 고원	冬高原
겨울 고원 - 1	冬高原-1
겨울 고원 - 2	冬高原-2
겨울 고원 - 3	冬高原-3
고양이	猫
골드가 부족합니다.	金币不足。
공격력 향상	攻击力提升
공격속도	攻击速度
공격속도 향상	攻击速度提升
교체	更换
나	我
나가기	退出
나도 강해질수 있을까?	我也能升级？
나이트메어	梦魔
난 이 마을이 좋아.	我喜欢这个村子。
날씨가 좋아!	天气眞好！
남쪽 숲	南森林
남쪽 숲 - 1	南森林-1
남쪽 숲 - 2	南森林-2
남쪽 숲 - 3	南森林-3
내 캐릭터	我的角色
네크로맨서	死灵法师
네크로맨서 레벨 리셋	死灵法师等级重置
네크로맨서 마나량 증가	死灵法师魔力增加
년	年
눈보라	暴风雪
늘리기	增加
다람쥐	松鼠
다시 시작	重新开始
다이아몬드 100	钻石100
다이아몬드 10000	钻石10000
다이아몬드 3000	钻石3000
다이아몬드 800	钻石800
다이아몬드가 부족합니다	钻石不足。
단기	短期
대량 판매	批量出卖
대량 판매하시겠습니까?	要批量卖出？
데미지	伤害
드라큘라	德古拉
드래곤	龙
드워프소녀	矮人少女
랜덤 힐	随机治
로이	罗伊
루시퍼	路西法
리뷰 하기	写评价
리뷰 하시겠어요?	想写评价？
리셋	重置
리치	巫妖
릴리	莉莉
마고	麻姑
마나가 부족합니다	魔力不足
마나가 부족합니다.	魔力不足。
마리오네트	木偶
마을	村庄
마을에서만 가능합니다.	仅在村庄可用。
마지막 레벨입니다.	已是最高等级。
망령	亡灵
맴버 추가	增加成员
멤버 슬롯 + 1	成员槽+1
무녀	巫女
무릉도원	世外桃源
무릉도원 - 1	世外桃源-1
무릉도원 - 2	世外桃源-2
무릉도원 - 3	世外桃源-3
무사	武士
무한던전	无尽地牢
미라	尸妖
미션 성공	任务成功
박쥐	夜翼
발키리	武姬
버블탄	泡泡弹
벼락	巴拉
보물상자를 발견했다!	发现了宝箱！
보상받기	领取赏励
보상을 받았습니다.	已领取赏励。
보스 도전	挑战首领
보스를 물리쳤습니다!	击败了首领！
보스처치시 보상	击败首领赏励
봉바	奉巴
봉바 배고프다.	奉巴饿了。
분	分
불사신	不死神
붉은 로브	红袍
붉은 사막	红沙漠
붉은 사막 - 1	红沙漠-1
붉은 사막 - 2	红沙漠-2
붉은 사막 - 3	红沙漠-3
붉은기사	红骑士
빅풋	大脚
서큐버스	魅魔
성공 확률	成功率
소꿉친구로이	竹马罗伊
소환 보너스	召唤赏励
수락	接受
쉐도우	暗影
스켈레톤	白骨
스킬 갱신하기 5회	技能刷新5次
스킬 쿨타임	技能冷却
스테이지 클리어 50회	通关50次
슬라임	史莱姆
슬라임 동굴	史莱姆洞窟
슬라임 동굴 - 1	史莱姆洞窟-1
슬라임 동굴 - 2	史莱姆洞窟-2
슬라임 동굴 - 3	史莱姆洞窟-3
시	时
아누비스	阿努比斯
얼음요정	雪妖精
여우	狐狸
영혼소환 지속시간 증가	灵魂召唤持续时间增加
영혼소환 최대수 증가	灵魂召唤上限增加
오딘	奥丁
오래된 숲	古老森林
오래된 숲 - 1	古老森林-1
오래된 숲 - 2	古老森林-2
오래된 숲 - 3	古老森林-3
오시리스	欧西里斯
용돈 받으렴.	拿去花。
용병	佣兵
원피스	连衣裙
월	月
유령	幽灵
유령 저택	幽灵宅邸
유령 저택 - 1	幽灵宅邸-1
유령 저택 - 2	幽灵宅邸-2
유령 저택 - 3	幽灵宅邸-3
유령기사소환	幽灵骑士召唤
유성	流星
의 정수	之精华
이동속도	移动速度
이동속도 향상	移动速度提升
이시스	伊西斯
일	日
입장	入场
자동 갱신	自动刷新
전갈	蝎子
전설의마법사	传说魔法师
전설의백기사	传说白骑士
전설의용병	传说佣兵
전설의청기사	传说苍骑士
전설의흑기사	传说黑骑士
전체 힐	全治疗
정말 판매하시겠습니까?	眞的要卖出？
정말 환생하시겠습니까?	眞的要转生？
제외	排除
제우스	宙斯
좀비	行尸
지하 감옥	地下监狱
지하 감옥 - 1	地下监狱-1
지하 감옥 - 2	地下监狱-2
지하 감옥 - 3	地下监狱-3
창기사	枪骑士
창병	枪兵
체력 향상	生命提升
초	秒
초당 회복 	每秒回复
최대 레벨입니다.	已达最高等级。
추가 골드	额外金币
추가 공격력	额外攻击力
추가 공격속도	额外攻击速度
추가 능력치	额外属性
추가 이동속도	额外移动速度
추가 체력	额外生命
추가 회복력	额外回复
추가 회복속도	额外回复速度
축하합니다!	恭喜！
취소	取消
치우	蚩尤
토끼	兎子
토끼 평원	兎子平原
토끼 평원 - 1	兎子平原-1
토끼 평원 - 2	兎子平原-2
토끼 평원 - 3	兎子平原-3
튜토리얼	新手指南
판 매	出卖
팔기	卖掉
포탈	传送
프레이아	芙丽雅
한번만 구매	限购一次
합 성	合成
합성 성공 5회	合成成功5次
합성상자	合成宝箱
해골대장	白骨队长
해제	解除
현재 MP량	当前MP
현재 쿨타임	当前冷却
확인	确认
환생	转生
환생레벨이 올랐습니다!	转生等级提升了！
환생하시겠습니까?	想转生？
환인	桓因
황금 신전	黄金神殿
황금 신전 - 1	黄金神殿-1
황금 신전 - 2	黄金神殿-2
황금 신전 - 3	黄金神殿-3
황금기사	黄金骑士
회복력	回复
회복속도 향상	回复速度提升
획득	获得
흑기사	黑骑士
